t	Vt	phi	theta	psi	PN	PE	H	ele	ail	rud	eng	H_cmd
1.410000	30.000001	0.000000	0.989571	0.000000	-1057.700024	0.000000	50.003787	0.993934	0.000000	0.000000	46.296619	50.000000
1.420000	30.000001	0.000000	0.989539	0.000000	-1057.400024	0.000000	50.003812	0.993936	0.000000	0.000000	46.296396	50.000000
1.430000	30.000001	0.000000	0.989507	0.000000	-1057.100024	0.000000	50.003838	0.993939	0.000000	0.000000	46.296173	50.000000
1.445000	30.000001	0.000000	0.989459	0.000000	-1056.650024	0.000000	50.003876	0.993943	0.000000	0.000000	46.295724	50.000000
1.455000	30.000001	0.000000	0.989427	0.000000	-1056.350024	0.000000	50.003901	0.993946	0.000000	0.000000	46.295499	50.000000
1.465000	30.000002	0.000000	0.989395	0.000000	-1056.050024	0.000000	50.003925	0.993948	0.000000	0.000000	46.295272	50.000000
1.475000	30.000002	0.000000	0.989363	0.000000	-1055.750024	0.000000	50.003950	0.993950	0.000000	0.000000	46.295046	50.000000
1.485000	30.000002	0.000000	0.989331	0.000000	-1055.450024	0.000000	50.003975	0.993951	0.000000	0.000000	46.294818	50.000000
1.495000	30.000002	0.000000	0.989298	0.000000	-1055.150024	0.000000	50.003999	0.993953	0.000000	0.000000	46.294591	50.000000
1.505000	30.000002	0.000000	0.989266	0.000000	-1054.850024	0.000000	50.004023	0.993955	0.000000	0.000000	46.294362	50.000000
1.515000	30.000003	0.000000	0.989234	0.000000	-1054.550024	0.000000	50.004047	0.993956	0.000000	0.000000	46.294133	50.000000
1.525000	30.000003	0.000000	0.989201	0.000000	-1054.250024	0.000000	50.004071	0.993958	0.000000	0.000000	46.293904	50.000000
1.535000	30.000003	0.000000	0.989169	0.000000	-1053.950024	0.000000	50.004095	0.993959	0.000000	0.000000	46.293675	50.000000
1.545000	30.000003	0.000000	0.989137	0.000000	-1053.650024	0.000000	50.004119	0.993960	0.000000	0.000000	46.293445	50.000000
1.555000	30.000003	0.000000	0.989105	0.000000	-1053.350024	0.000000	50.004142	0.993961	0.000000	0.000000	46.293214	50.000000
1.570000	30.000004	0.000000	0.989056	0.000000	-1052.900024	0.000000	50.004177	0.993963	0.000000	0.000000	46.292984	50.000000
1.580000	30.000004	0.000000	0.989024	0.000000	-1052.600024	0.000000	50.004200	0.993964	0.000000	0.000000	46.292753	50.000000
1.590000	30.000004	0.000000	0.988991	0.000000	-1052.300024	0.000000	50.004223	0.993964	0.000000	0.000000	46.292522	50.000000
1.600000	30.000004	0.000000	0.988959	0.000000	-1052.000024	0.000000	50.004246	0.993965	0.000000	0.000000	46.292291	50.000000
1.610000	30.000004	0.000000	0.988927	0.000000	-1051.700023	0.000000	50.004268	0.993966	0.000000	0.000000	46.292060	50.000000
1.620000	30.000004	0.000000	0.988895	0.000000	-1051.400023	0.000000	50.004291	0.993967	0.000000	0.000000	46.291828	50.000000
1.630000	30.000005	0.000000	0.988863	0.000000	-1051.100023	0.000000	50.004313	0.993967	0.000000	0.000000	46.291597	50.000000
1.640000	30.000005	0.000000	0.988830	0.000000	-1050.800023	0.000000	50.004335	0.993968	0.000000	0.000000	46.291366	50.000000
1.650000	30.000005	0.000000	0.988798	0.000000	-1050.500023	0.000000	50.004357	0.993968	0.000000	0.000000	46.291134	50.000000
1.665000	30.000005	0.000000	0.988750	0.000000	-1050.050023	0.000000	50.004389	0.993969	0.000000	0.000000	46.290671	50.000000
1.675000	30.000005	0.000000	0.988718	0.000000	-1049.750023	0.000000	50.004411	0.993969	0.000000	0.000000	46.290440	50.000000
1.685000	30.000005	0.000000	0.988686	0.000000	-1049.450023	0.000000	50.004432	0.993969	0.000000	0.000000	46.290208	50.000000
1.695000	30.000006	0.000000	0.988654	0.000000	-1049.150023	0.000000	50.004453	0.993969	0.000000	0.000000	46.289977	50.000000
1.705000	30.000006	0.000000	0.988622	0.000000	-1048.850023	0.000000	50.004474	0.993969	0.000000	0.000000	46.289746	50.000000
1.720000	30.000006	0.000000	0.988574	0.000000	-1048.400023	0.000000	50.004505	0.993969	0.000000	0.000000	46.289515	50.000000
1.730000	30.000006	0.000000	0.988543	0.000000	-1048.100023	0.000000	50.004526	0.993969	0.000000	0.000000	46.289285	50.000000
1.740000	30.000006	0.000000	0.988511	0.000000	-1047.800023	0.000000	50.004546	0.993969	0.000000	0.000000	46.289054	50.000000
1.750000	30.000006	0.000000	0.988479	0.000000	-1047.500023	0.000000	50.004566	0.993969	0.000000	0.000000	46.288824	50.000000
1.760000	30.000007	0.000000	0.988448	0.000000	-1047.200023	0.000000	50.004587	0.993969	0.000000	0.000000	46.288595	50.000000
1.770000	30.000007	0.000000	0.988416	0.000000	-1046.900023	0.000000	50.004606	0.993968	0.000000	0.000000	46.288365	50.000000
1.780000	30.000007	0.000000	0.988385	0.000000	-1046.600023	0.000000	50.004626	0.993968	0.000000	0.000000	46.288136	50.000000
